방산분야,관련직무,난이도,교육명,교육기관,교육링크(URL),추천자격증,검증상태
통신전자,국방SW 개발자(임베디드),입문,C프로그래밍·컴퓨터구조 (키워드 검색),K-MOOC (국가평생교육진흥원),https://www.kmooc.kr/view/search/,정보처리기사,검색페이지확인·강좌회전
통신전자,국방SW 개발자(임베디드),중급,임베디드·RTOS 실습 과정 (과정검색),HRD-Net (고용노동부 직업훈련포털),https://www.hrd.go.kr,전자기사,포털·과정검색필요
통신전자,국방SW 개발자(임베디드),심화,방위산업기술보호 교육(보안),한국산업기술보호협회,https://www.kaits.or.kr/web/content.do?menu_cd=000051,정보보안기사,기관확인·주로재직자대상
통신전자,통신체계 엔지니어,입문,통신이론·디지털통신 기초 (키워드 검색),K-MOOC (국가평생교육진흥원),https://www.kmooc.kr/view/search/,전파전자통신기사,검색페이지확인·강좌회전
통신전자,통신체계 엔지니어,중급,무선이동통신·네트워크 (키워드 검색),K-MOOC (국가평생교육진흥원),https://www.kmooc.kr/view/search/,무선설비기사,검색페이지확인·강좌회전
통신전자,통신체계 엔지니어,심화,전술통신 방산 전문교육,한국방위산업진흥회 교육센터,https://edu.kdia.or.kr,정보처리기사,기관확인·주로재직자대상
기동,기동장비 설계 엔지니어,입문,기계설계·재료역학 기초 (키워드 검색),K-MOOC (국가평생교육진흥원),https://www.kmooc.kr/view/search/,기계설계산업기사,검색페이지확인·강좌회전
기동,기동장비 설계 엔지니어,중급,CATIA·NX 3D설계 실습 (과정검색),HRD-Net (고용노동부 직업훈련포털),https://www.hrd.go.kr,일반기계기사,포털·과정검색필요
기동,기동장비 설계 엔지니어,심화,지상무기체계 획득·체계공학 (방산 전문교육),방위사업교육원,https://edu.dapa.go.kr,품질경영기사,기관확인·대상제한
기동,차량 시험평가 엔지니어,입문,동역학·진동공학 기초 (키워드 검색),K-MOOC (국가평생교육진흥원),https://www.kmooc.kr/view/search/,일반기계기사,검색페이지확인·강좌회전
기동,차량 시험평가 엔지니어,중급,계측·신호처리 실습 (과정검색),HRD-Net (고용노동부 직업훈련포털),https://www.hrd.go.kr,품질경영기사,포털·과정검색필요
기동,차량 시험평가 엔지니어,심화,무기체계 시험평가 실무 (방산 전문교육),방위사업교육원,https://edu.dapa.go.kr,품질경영기사,기관확인·대상제한
기동,전투차량 정비 엔지니어,입문,유압·공압·기계요소 기초 (키워드 검색),K-MOOC (국가평생교육진흥원),https://www.kmooc.kr/view/search/,건설기계설비기사,검색페이지확인·강좌회전
기동,전투차량 정비 엔지니어,중급,차량·궤도장비 정비 과정 (과정검색),HRD-Net (고용노동부 직업훈련포털),https://www.hrd.go.kr,일반기계기사,포털·과정검색필요
기동,전투차량 정비 엔지니어,심화,종합군수지원(ILS)·신뢰성 (국방품질 참고),국방기술품질원,https://www.dtaq.re.kr,품질경영기사,기관확인
기동,구동·제어 엔지니어,입문,제어공학·메카트로닉스 기초 (키워드 검색),K-MOOC (국가평생교육진흥원),https://www.kmooc.kr/view/search/,메카트로닉스기사,검색페이지확인·강좌회전
기동,구동·제어 엔지니어,중급,임베디드·모터제어 실습 (과정검색),HRD-Net (고용노동부 직업훈련포털),https://www.hrd.go.kr,전자기사,포털·과정검색필요
기동,구동·제어 엔지니어,심화,기동체계 방산 전문교육,한국방위산업진흥회 교육센터,https://edu.kdia.or.kr,일반기계기사,기관확인·주로재직자대상
기동,차체·방호 설계 엔지니어,입문,구조역학·용접공학 기초 (키워드 검색),K-MOOC (국가평생교육진흥원),https://www.kmooc.kr/view/search/,기계설계산업기사,검색페이지확인·강좌회전
기동,차체·방호 설계 엔지니어,중급,유한요소해석(FEA) 실습 (과정검색),HRD-Net (고용노동부 직업훈련포털),https://www.hrd.go.kr,일반기계기사,포털·과정검색필요
기동,차체·방호 설계 엔지니어,심화,방호·소재 품질보증 (국방품질 참고),국방기술품질원,https://www.dtaq.re.kr,품질경영기사,기관확인
함정,함정 체계종합 엔지니어,입문,공학수학·시스템공학 기초 (키워드 검색),K-MOOC (국가평생교육진흥원),https://www.kmooc.kr/view/search/,조선기사,검색페이지확인·강좌회전
함정,함정 체계종합 엔지니어,중급,함정 설계·인터페이스 관리 (키워드 검색),K-MOOC (국가평생교육진흥원),https://www.kmooc.kr/view/search/,일반기계기사,검색페이지확인·강좌회전
함정,함정 체계종합 엔지니어,심화,함정 획득·MRO 방산 전문교육,한국방위산업진흥회 교육센터,https://edu.kdia.or.kr,품질경영기사,기관확인·주로재직자대상
함정,추진·기관 엔지니어,입문,열역학·유체역학 기초 (키워드 검색),K-MOOC (국가평생교육진흥원),https://www.kmooc.kr/view/search/,일반기계기사,검색페이지확인·강좌회전
함정,추진·기관 엔지니어,중급,CFD·동력전달 해석 (과정검색),HRD-Net (고용노동부 직업훈련포털),https://www.hrd.go.kr,조선기사,포털·과정검색필요
함정,추진·기관 엔지니어,심화,함정 추진체계 품질보증 (국방품질 참고),국방기술품질원,https://www.dtaq.re.kr,품질경영기사,기관확인
함정,전투체계 SW 개발자,입문,C++·자료구조 기초 (키워드 검색),K-MOOC (국가평생교육진흥원),https://www.kmooc.kr/view/search/,정보처리기사,검색페이지확인·강좌회전
함정,전투체계 SW 개발자,중급,실시간시스템·네트워크 (키워드 검색),K-MOOC (국가평생교육진흥원),https://www.kmooc.kr/view/search/,정보보안기사,검색페이지확인·강좌회전
함정,전투체계 SW 개발자,심화,함정 전투체계 방산 전문교육,한국방위산업진흥회 교육센터,https://edu.kdia.or.kr,정보처리기사,기관확인·주로재직자대상
함정,조선 구조설계 엔지니어,입문,선박구조·재료역학 기초 (키워드 검색),K-MOOC (국가평생교육진흥원),https://www.kmooc.kr/view/search/,조선산업기사,검색페이지확인·강좌회전
함정,조선 구조설계 엔지니어,중급,선체 구조해석(FEA)·용접 (과정검색),HRD-Net (고용노동부 직업훈련포털),https://www.hrd.go.kr,조선기사,포털·과정검색필요
함정,조선 구조설계 엔지니어,심화,함정 구조 품질보증 (국방품질 참고),국방기술품질원,https://www.dtaq.re.kr,품질경영기사,기관확인
함정,음향·소나 엔지니어,입문,음향학·신호와 시스템 (키워드 검색),K-MOOC (국가평생교육진흥원),https://www.kmooc.kr/view/search/,전자기사,검색페이지확인·강좌회전
함정,음향·소나 엔지니어,중급,수중음향·DSP·MATLAB (키워드 검색),K-MOOC (국가평생교육진흥원),https://www.kmooc.kr/view/search/,전파전자통신기사,검색페이지확인·강좌회전
함정,음향·소나 엔지니어,심화,소나체계 방산 전문교육,한국방위산업진흥회 교육센터,https://edu.kdia.or.kr,전파전자통신기사,기관확인·주로재직자대상
탄약,탄약 설계 엔지니어,입문,화학공학·재료역학 기초 (키워드 검색),K-MOOC (국가평생교육진흥원),https://www.kmooc.kr/view/search/,화공기사,검색페이지확인·강좌회전
탄약,탄약 설계 엔지니어,중급,탄도학·구조해석 (키워드 검색),K-MOOC (국가평생교육진흥원),https://www.kmooc.kr/view/search/,화약류제조기사,검색페이지확인·강좌회전
탄약,탄약 설계 엔지니어,심화,탄약 품질보증·신뢰성 (국방품질 참고),국방기술품질원,https://www.dtaq.re.kr,품질경영기사,기관확인
탄약,추진제·화약 공정 엔지니어,입문,화학공정·반응공학 기초 (키워드 검색),K-MOOC (국가평생교육진흥원),https://www.kmooc.kr/view/search/,화공기사,검색페이지확인·강좌회전
탄약,추진제·화약 공정 엔지니어,중급,위험물·공정안전 과정 (과정검색),HRD-Net (고용노동부 직업훈련포털),https://www.hrd.go.kr,화약류제조기사,포털·과정검색필요
탄약,추진제·화약 공정 엔지니어,심화,화약류 안전관리 자격 준비,HRD-Net (고용노동부 직업훈련포털),https://www.hrd.go.kr,화약류관리기사,포털·과정검색필요
탄약,탄약 품질보증 엔지니어,입문,통계·품질관리 기초 (키워드 검색),K-MOOC (국가평생교육진흥원),https://www.kmooc.kr/view/search/,품질경영기사,검색페이지확인·강좌회전
탄약,탄약 품질보증 엔지니어,심화,군수품 품질보증·규격 (국방품질 참고),국방기술품질원,https://www.dtaq.re.kr,품질경영기사,기관확인
탄약,신관·안전장전 엔지니어,입문,기계요소·전자회로 기초 (키워드 검색),K-MOOC (국가평생교육진흥원),https://www.kmooc.kr/view/search/,일반기계기사,검색페이지확인·강좌회전
탄약,신관·안전장전 엔지니어,중급,안전공학·신뢰성 과정 (과정검색),HRD-Net (고용노동부 직업훈련포털),https://www.hrd.go.kr,산업안전기사,포털·과정검색필요
탄약,신관·안전장전 엔지니어,심화,탄약 체계 방산 전문교육,한국방위산업진흥회 교육센터,https://edu.kdia.or.kr,품질경영기사,기관확인·주로재직자대상
화력,화포 체계 엔지니어,입문,기계설계·동역학 기초 (키워드 검색),K-MOOC (국가평생교육진흥원),https://www.kmooc.kr/view/search/,일반기계기사,검색페이지확인·강좌회전
화력,화포 체계 엔지니어,중급,CATIA·구조해석(FEA) 실습 (과정검색),HRD-Net (고용노동부 직업훈련포털),https://www.hrd.go.kr,기계설계산업기사,포털·과정검색필요
화력,화포 체계 엔지니어,심화,화력체계 획득·체계공학 (방산 전문교육),방위사업교육원,https://edu.dapa.go.kr,품질경영기사,기관확인·대상제한
화력,사격통제(FCS) SW 개발자,입문,제어공학·C프로그래밍 기초 (키워드 검색),K-MOOC (국가평생교육진흥원),https://www.kmooc.kr/view/search/,정보처리기사,검색페이지확인·강좌회전
화력,사격통제(FCS) SW 개발자,중급,센서융합·임베디드 실습 (과정검색),HRD-Net (고용노동부 직업훈련포털),https://www.hrd.go.kr,전자기사,포털·과정검색필요
화력,사격통제(FCS) SW 개발자,심화,사격통제체계 방산 전문교육,한국방위산업진흥회 교육센터,https://edu.kdia.or.kr,전자기사,기관확인·주로재직자대상
화력,화력 시험평가 엔지니어,입문,계측공학·통계 기초 (키워드 검색),K-MOOC (국가평생교육진흥원),https://www.kmooc.kr/view/search/,품질경영기사,검색페이지확인·강좌회전
화력,화력 시험평가 엔지니어,심화,무기체계 시험평가 실무 (방산 전문교육),방위사업교육원,https://edu.dapa.go.kr,품질경영기사,기관확인·대상제한
화력,화기 정비·총포 엔지니어,입문,정밀기계·기계요소 기초 (키워드 검색),K-MOOC (국가평생교육진흥원),https://www.kmooc.kr/view/search/,일반기계기사,검색페이지확인·강좌회전
화력,화기 정비·총포 엔지니어,중급,정밀측정·정비 실습 (과정검색),HRD-Net (고용노동부 직업훈련포털),https://www.hrd.go.kr,정밀측정산업기사,포털·과정검색필요
화력,화기 정비·총포 엔지니어,심화,화기 품질보증·신뢰성 (국방품질 참고),국방기술품질원,https://www.dtaq.re.kr,품질경영기사,기관확인
화생방,화생방 탐지체계 엔지니어,입문,분석화학·일반화학 기초 (키워드 검색),K-MOOC (국가평생교육진흥원),https://www.kmooc.kr/view/search/,화공기사,검색페이지확인·강좌회전
화생방,화생방 탐지체계 엔지니어,중급,센서·신호처리·임베디드 (과정검색),HRD-Net (고용노동부 직업훈련포털),https://www.hrd.go.kr,전자기사,포털·과정검색필요
화생방,화생방 탐지체계 엔지니어,심화,화생방 체계 방산 전문교육,한국방위산업진흥회 교육센터,https://edu.kdia.or.kr,품질경영기사,기관확인·주로재직자대상
화생방,제독·방호 설계 엔지니어,입문,화학공학·유체역학 기초 (키워드 검색),K-MOOC (국가평생교육진흥원),https://www.kmooc.kr/view/search/,화공기사,검색페이지확인·강좌회전
화생방,제독·방호 설계 엔지니어,중급,환경공학·여과공정 (키워드 검색),K-MOOC (국가평생교육진흥원),https://www.kmooc.kr/view/search/,대기환경기사,검색페이지확인·강좌회전
화생방,제독·방호 설계 엔지니어,심화,제독장비 품질보증 (국방품질 참고),국방기술품질원,https://www.dtaq.re.kr,품질경영기사,기관확인
화생방,화생방 환경·시험 엔지니어,입문,환경모니터링·분석기기 기초 (키워드 검색),K-MOOC (국가평생교육진흥원),https://www.kmooc.kr/view/search/,대기환경기사,검색페이지확인·강좌회전
화생방,화생방 환경·시험 엔지니어,중급,기기분석(GC-MS)·시험 과정 (과정검색),HRD-Net (고용노동부 직업훈련포털),https://www.hrd.go.kr,화공기사,포털·과정검색필요
화생방,화생방 환경·시험 엔지니어,심화,산업안전·위험성평가 (자격 준비),HRD-Net (고용노동부 직업훈련포털),https://www.hrd.go.kr,산업안전기사,포털·과정검색필요
기타,체계종합(SE) 엔지니어,입문,시스템공학·공학수학 기초 (키워드 검색),K-MOOC (국가평생교육진흥원),https://www.kmooc.kr/view/search/,품질경영기사,검색페이지확인·강좌회전
기타,체계종합(SE) 엔지니어,중급,요구사항·형상관리 방산 전문교육,한국방위산업진흥회 교육센터,https://edu.kdia.or.kr,품질경영기사,기관확인·주로재직자대상
기타,체계종합(SE) 엔지니어,심화,국방사업관리사 자격 취득,국방사업관리사 검정(KPC),https://license.kpc.or.kr/qplus/cdpm,국방사업관리사,기관확인
기타,품질보증(QA) 엔지니어,입문,품질경영·통계 기초 (키워드 검색),K-MOOC (국가평생교육진흥원),https://www.kmooc.kr/view/search/,품질경영기사,검색페이지확인·강좌회전
기타,품질보증(QA) 엔지니어,중급,군수품 품질보증 제도 (국방품질 참고),국방기술품질원,https://www.dtaq.re.kr,품질경영기사,기관확인
기타,품질보증(QA) 엔지니어,심화,방산 품질보증 실무 (방산 전문교육),한국방위산업진흥회 교육센터,https://edu.kdia.or.kr,품질경영기사,기관확인·주로재직자대상
기타,군수·정비공학(ILS) 엔지니어,입문,신뢰성공학·통계 기초 (키워드 검색),K-MOOC (국가평생교육진흥원),https://www.kmooc.kr/view/search/,품질경영기사,검색페이지확인·강좌회전
기타,군수·정비공학(ILS) 엔지니어,중급,ILS·총수명주기관리 (국방품질 참고),국방기술품질원,https://www.dtaq.re.kr,품질경영기사,기관확인
기타,군수·정비공학(ILS) 엔지니어,심화,국방획득·사업관리 (방산 전문교육),방위사업교육원,https://edu.dapa.go.kr,국방사업관리사,기관확인·대상제한
기타,모의훈련(M&S) SW 개발자,입문,C#·자료구조 기초 (키워드 검색),K-MOOC (국가평생교육진흥원),https://www.kmooc.kr/view/search/,정보처리기사,검색페이지확인·강좌회전
기타,모의훈련(M&S) SW 개발자,중급,Unity·3D그래픽스 실습 (과정검색),HRD-Net (고용노동부 직업훈련포털),https://www.hrd.go.kr,정보처리기사,포털·과정검색필요
기타,모의훈련(M&S) SW 개발자,심화,국방 M&S 체계 방산 전문교육,한국방위산업진흥회 교육센터,https://edu.kdia.or.kr,정보처리기사,기관확인·주로재직자대상
기타,방산 원가관리 담당,입문,원가회계·관리회계 기초 (키워드 검색),K-MOOC (국가평생교육진흥원),https://www.kmooc.kr/view/search/,국방원가관리사,검색페이지확인·강좌회전
기타,방산 원가관리 담당,중급,국방원가관리사 동영상 강의·교재,국방원가관리사 자격시스템(KDIA),https://dcm.kdia.or.kr:8092/main/main.do,국방원가관리사,기관확인
기타,방산 원가관리 담당,심화,국방획득제도·원가계산 실무 (방산 전문교육),방위사업교육원,https://edu.dapa.go.kr,국방원가관리사,기관확인·대상제한
기타,방산보안 담당,입문,정보보안 개론 (키워드 검색),K-MOOC (국가평생교육진흥원),https://www.kmooc.kr/view/search/,정보보안기사,검색페이지확인·강좌회전
기타,방산보안 담당,중급,방위산업기술보호 교육,한국산업기술보호협회,https://www.kaits.or.kr/web/content.do?menu_cd=000051,정보보안기사,기관확인·주로재직자대상
기타,방산보안 담당,심화,CMMC 대응 실무 (기업 사이버보안 인증),한국산업기술보호협회,https://www.kaits.or.kr/web/content.do?menu_cd=000051,정보보안기사,기관확인·주로재직자대상
공통,어학(시험대비),입문,영어·외국어 기초 강좌 (키워드 검색),국가평생학습포털 늘배움(국가평생교육진흥원),https://www.lifelongedu.go.kr,공인어학시험 TOEIC/OPIc 등,기관확인·전국민무료
공통,어학(시험대비),입문,외국어 강좌(영어·중국어·일본어 등),경기도 평생학습포털 지식(GSEEK),https://www.gseek.kr,공인어학시험 TOEIC/OPIc/HSK 등,기관확인·무료(전국가능)
공통,어학(시험대비),중급,비즈니스·실무영어 (대학공개강좌),K-MOOC (국가평생교육진흥원),https://www.kmooc.kr/view/search/,공인어학시험 TOEIC Speaking 등,검색페이지확인·강좌회전
공통,지식(비즈니스),입문,비즈니스·경영 입문 강좌,국가평생학습포털 늘배움(국가평생교육진흥원),https://www.lifelongedu.go.kr,-,기관확인·전국민무료
공통,지식(비즈니스),중급,경영·창업·마케팅 (대학공개강좌),K-MOOC (국가평생교육진흥원),https://www.kmooc.kr/view/search/,-,검색페이지확인·강좌회전
공통,지식(리더십),입문,리더십·자기계발 강좌,경기도 평생학습포털 지식(GSEEK),https://www.gseek.kr,-,기관확인·무료(전국가능)
공통,지식(리더십),중급,조직행동·리더십 (대학공개강좌),K-MOOC (국가평생교육진흥원),https://www.kmooc.kr/view/search/,-,검색페이지확인·강좌회전
공통,지식(경제),입문,경제·금융 이해 콘텐츠·강좌,한국은행 경제교육,https://www.bok.or.kr/portal/submain/submain/ecEdu.do?viewType=SUBMAIN&menuNo=200131,경제이해력시험 TESAT·매경TEST(민간),기관확인·무료
공통,지식(경제),중급,시사경제·경제정책 자료·강좌,KDI 경제교육·정보센터,https://eiec.kdi.re.kr,경제이해력시험 TESAT·매경TEST(민간),기관확인·무료
공통,지식(경제),중급,경제학·금융 (대학공개강좌),K-MOOC (국가평생교육진흥원),https://www.kmooc.kr/view/search/,-,검색페이지확인·강좌회전
공통,지식(인문창의),입문,인문학·교양 강좌,국가평생학습포털 늘배움(국가평생교육진흥원),https://www.lifelongedu.go.kr,-,기관확인·전국민무료
공통,지식(인문창의),중급,인문·예술·창의 (대학공개강좌),K-MOOC (국가평생교육진흥원),https://www.kmooc.kr/view/search/,-,검색페이지확인·강좌회전
공통,진로(강점발견),공통,직업선호도·직업적성 등 심리검사 20여종(무료),워크넷 직업심리검사(고용노동부),https://www.work.go.kr/consltJobCarpa/jobPsyExamNew/jobPsyExamList.do,-,기관확인·무료
공통,진로(강점발견),공통,진로심리검사(흥미·적성·가치관),커리어넷 진로심리검사(교육부),https://www.career.go.kr/cnet/front/examen/examenMain.do,-,기관확인·무료
공통,진로(진로탐색),공통,직업정보·직무기반 직업탐색,워크넷 직업심리검사(고용노동부),https://www.work.go.kr/consltJobCarpa/jobPsyExamNew/jobPsyExamList.do,-,기관확인·무료
공통,진로(진로탐색),공통,진로탐색 프로그램·학과/직업정보,커리어넷 진로심리검사(교육부),https://www.career.go.kr/cnet/front/examen/examenMain.do,-,기관확인·무료
공통,진로(경력관리),공통,구직준비도검사·진로준비 진단,워크넷 직업심리검사(고용노동부),https://www.work.go.kr/consltJobCarpa/jobPsyExamNew/jobPsyExamList.do,-,기관확인·무료
공통,진로(경력관리),중급,경력개발·진로설계 (대학공개강좌),K-MOOC (국가평생교육진흥원),https://www.kmooc.kr/view/search/,-,검색페이지확인·강좌회전
